2013-07-01,Monday
2013-07-02,Tuesday
2013-07-03,Wednesday
2013-07-04,Thursday
2013-07-05,Friday
2013-07-06,Saturday
2013-07-07,Sunday
2013-07-09,Tuesday
2013-07-11,Thursday
2013-07-12,Friday
2013-07-14,Sunday
2013-07-15,Monday
2013-07-16,Tuesday
2013-07-18,Thursday
2013-07-19,Friday
2013-07-20,Saturday
2013-07-21,Sunday
2013-07-22,Monday
2013-07-26,Friday
2013-07-27,Saturday
2013-07-28,Sunday
2013-07-30,Tuesday
2013-08-01,Thursday
2013-08-02,Friday
2013-08-04,Sunday
2013-08-05,Monday
2013-08-06,Tuesday
2013-08-07,Wednesday
2013-08-08,Thursday
2013-08-09,Friday
2013-08-10,Saturday
2013-08-11,Sunday
2013-08-12,Monday
2013-08-13,Tuesday
2013-08-14,Wednesday
2013-08-15,Thursday
2013-08-16,Friday
2013-08-17,Saturday
2013-08-18,Sunday
2013-08-19,Monday
2013-08-20,Tuesday
2013-08-21,Wednesday
2013-08-22,Thursday
2013-08-23,Friday
2013-08-25,Sunday
2013-08-27,Tuesday
2013-08-30,Friday
2013-08-31,Saturday
2013-09-01,Sunday
2013-09-02,Monday
2013-09-03,Tuesday
2013-09-05,Thursday
2013-09-06,Friday
2013-09-07,Saturday
2013-09-08,Sunday
2013-09-09,Monday
2013-09-10,Tuesday
2013-09-11,Wednesday
2013-09-12,Thursday
2013-09-13,Friday
2013-09-14,Saturday
2013-09-15,Sunday
2013-09-16,Monday
2013-09-17,Tuesday
2013-09-18,Wednesday
2013-09-19,Thursday
2013-09-20,Friday
2013-09-21,Saturday
2013-09-22,Sunday
2013-09-23,Monday
2013-09-24,Tuesday
2013-09-25,Wednesday
2013-09-27,Friday
2013-09-28,Saturday
2013-09-29,Sunday
2013-10-01,Tuesday
2013-10-02,Wednesday
2013-10-03,Thursday
2013-10-04,Friday
2013-10-06,Sunday
2013-10-07,Monday
2013-10-08,Tuesday
2013-10-09,Wednesday
2013-10-10,Thursday
2013-10-11,Friday
2013-10-13,Sunday
2013-10-14,Monday
2013-10-15,Tuesday
2013-10-16,Wednesday
2013-10-17,Thursday
2013-10-18,Friday
2013-10-19,Saturday
2013-10-20,Sunday
2013-10-21,Monday
2013-10-22,Tuesday
2013-10-24,Thursday
2013-10-25,Friday
2013-10-26,Saturday
2013-10-27,Sunday
2013-10-28,Monday
2013-10-29,Tuesday
